FECHA_CORTE;ANIO;ID_MES;MES;DEPARTAMENTO;SITIO_TURISTICO;TIPO_VISITANTE;NUMERO_VISITANTES
20260429;2019;1;ENERO;CUSCO;CAMINO INKA CHACHABAMBA (KM. 104);TOTAL;1114
20260429;2019;1;ENERO;CUSCO;CAMINO INKA INTIHUATANA KM. 122;NACIONAL;1797
20260429;2019;1;ENERO;CUSCO;CAMINO INKA INTIHUATANA KM. 122;EXTRANJERO;19550
20260429;2019;1;ENERO;CUSCO;CAMINO INKA INTIHUATANA KM. 122;TOTAL;21347
20260429;2019;1;ENERO;CUSCO;CAMINO INKA INTIPUNKU;TOTAL;0
20260429;2019;1;ENERO;CUSCO;CAMINO INKA PISCACUCHO (KM. 82);NACIONAL;77
20260429;2019;1;ENERO;CUSCO;CAMINO INKA PISCACUCHO (KM. 82);EXTRANJERO;2601
20260429;2019;1;ENERO;CUSCO;CAMINO INKA PISCACUCHO (KM. 82);TOTAL;2678
20260429;2019;1;ENERO;CUSCO;CAMINO INKA QORYWAYRACHINA (KM. 88);NACIONAL;0
20260429;2019;1;ENERO;CUSCO;CAMINO INKA QORYWAYRACHINA (KM. 88);EXTRANJERO;5
20260429;2019;1;ENERO;CUSCO;CAMINO INKA QORYWAYRACHINA (KM. 88);TOTAL;5
20260429;2019;1;ENERO;CUSCO;CIUDAD INKA DE MACHUPICCHU;NACIONAL;44092
20260429;2019;1;ENERO;CUSCO;CIUDAD INKA DE MACHUPICCHU;EXTRANJERO;70689
20260429;2019;1;ENERO;CUSCO;CIUDAD INKA DE MACHUPICCHU;TOTAL;114781
20260429;2019;1;ENERO;CUSCO;COMPLEJO ARQUEOLÓGICO DE HUCHUY QOSQO;NACIONAL;61
20260429;2019;1;ENERO;CUSCO;COMPLEJO ARQUEOLÓGICO DE HUCHUY QOSQO;EXTRANJERO;87
20260429;2019;1;ENERO;CUSCO;COMPLEJO ARQUEOLÓGICO DE HUCHUY QOSQO;TOTAL;148
20260429;2019;1;ENERO;CUSCO;COMPLEJO ARQUEOLÓGICO DE MORAY;NACIONAL;18944
